Date,Variable,National,Lokolia,Watsikengo,HGR Boende,Boende moke,Lokula,Mondombe
2014-09-18,Number of registered cases,68,,,,,,
2014-09-18,Laboratory confirmed cases,28,,,,,,
2014-09-18,Probable cases,26,,,,,,
2014-09-18,Suspected cases,14,,,,,,
2014-09-18,Number of deaths,41,,,,,,
2014-09-18,Number of ill health personnel,9,,,,,,
2014-09-18,Number of deaths - health personnel,8,,,,,,
2014-09-18,Number of hospitalized people (in isolation),3,3,0,0,0,0,0
2014-09-18,Contacts requiring follow-up,488,,,,,,
2014-09-18,Contacts seen to date,468,,,,,,
2014-09-18,Contacts discarded from follow-up after 21 days,432,,,,,,
2014-09-18,Number of lost contacts,0,,,,,,
2014-09-18,Number of samples analyzed,108,,,,,,
2014-09-18,Case Fatality Rate (CFR) - Confirmed - probable - suspected cases (%),60.3,,,,,,
2014-09-18,Contacts recorded to date,,,,,,,
